Company / Agency,Email,Type,Status,Date Applied,Follow-up Date,Notes
ADCB,careers@adcb.com,Direct Employer,Applied,,,
AECOM UAE,https://ae-careers.aecom.com/,Direct Employer,To Contact,,,
Accor Hotels UAE,hrd@accor.com,Direct Employer,To Contact,,,
Amazon UAE,aws-careers-emea@amazon.com ; hiring@amazon.com,Direct Employer,To Contact,,,
Aster DM Healthcare,careers@asterhospital.com,Direct Employer,To Contact,,,
Bayt.com,hr@bayt.com,Direct Employer,To Contact,,,
Careem,careers@careem.com ; https://jobs.careem.com/,Direct Employer,To Contact,,,
Carrefour UAE,https://www.carrefouruaecareers.com/,Direct Employer,To Contact,,,
DAMAC Properties,careers@damacgroup.com,Direct Employer,To Contact,,,
DEWA,recruitment@dewa.gov.ae,Direct Employer,To Contact,,,
DP World,careers@dpworld.com,Direct Employer,To Contact,,,
Deloitte Middle East,careers@deloitte.com,Direct Employer,To Contact,,,
Dubai Airports,careers@dubaiairports.ae,Direct Employer,To Contact,,,
Dubai Municipality,careers@dm.gov.ae,Direct Employer,To Contact,,,
EVOQ (Real Estate),WhatsApp: +971523321256,Direct Employer,To Contact,,,
EY UAE,careers@ae.ey.com,Direct Employer,To Contact,,,
Emaar Properties,careers@emaar.ae ; https://www.emaar.com/en/careers,Direct Employer,To Contact,,,
Emirates Group,careers@emirates.com ; https://www.emiratesgroupcareers.com/,Direct Employer,To Contact,,,
Emirates NBD,careers@emiratesnbd.com,Direct Employer,To Contact,,,
Etisalat,careers@etisalat.ae,Direct Employer,To Contact,,,
Etisalat (e&),careers@etisalat.ae ; https://careers.etisalat.ae/,Direct Employer,To Contact,,,
Flydubai,careers@flydubai.com,Direct Employer,To Contact,,,
Google UAE,careers@google.com,Direct Employer,To Contact,,,
HSBC UAE,careersuae@hsbc.com,Direct Employer,To Contact,,,
Hilton Hotels UAE,uajobs@hilton.com,Direct Employer,To Contact,,,
Jumeirah Group,careers@jumeirah.com,Direct Employer,To Contact,,,
KPMG UAE,careers@kpmg.com,Direct Employer,To Contact,,,
Majid Al Futtaim,https://careers.majidalfuttaim.com/,Direct Employer,To Contact,,,
Marriott International UAE,careers@marriott.com,Direct Employer,To Contact,,,
Mashreq Bank,careers@mashreqbank.com,Direct Employer,To Contact,,,
Mediclinic Middle East,recruitment@mediclinic.ae,Direct Employer,To Contact,,,
Microsoft Gulf,careers@microsoft.com,Direct Employer,To Contact,,,
Nakheel,careers@nakheel.com,Direct Employer,To Contact,,,
Noon,talent@noon.com ; careers@noon.com,Direct Employer,To Contact,,,
Oracle Middle East,oraclecareers@oracle.com,Direct Employer,To Contact,,,
Property Finder,careers@propertyfinder.ae,Direct Employer,To Contact,,,
PwC Middle East,careers@pwc.com,Direct Employer,To Contact,,,
RTA Dubai,hr@rta.ae,Direct Employer,To Contact,,,
Rotana Hotels,https://www.rotanacareers.com/,Direct Employer,To Contact,,,
SAP Middle East,careers@sap.com,Direct Employer,To Contact,,,
Saudi German Hospital Dubai,careers@saudigerman.com,Direct Employer,To Contact,,,
Standard Chartered UAE,careers@sc.com,Direct Employer,To Contact,,,
Talabat,careers@talabat.com ; https://corporate.talabat.com/careers/,Direct Employer,To Contact,,,
du Telecom,careers@du.ae,Direct Employer,To Contact,,,
ADMS UAE,info@admsuae.com,Agency,To Contact,,,
AKRS,info@akrs.ae,Agency,To Contact,,,
ASRS,Info@asrs.ae,Agency,To Contact,,,
Adecco,adeccoae.info@adecco.com,Agency,To Contact,,,
Al Mansoor Group,info@almansoorgroup.com,Agency,To Contact,,,
Al Nahiya,enquiries@alnahiya.com ; info@alnahiya.com,Agency,To Contact,,,
Al Thawiya,enquiry@al-thawiya.com,Agency,To Contact,,,
Al Vakil,jobs@alvakil.net ; adminmumbai@alvakil.net,Agency,To Contact,,,
Antal,info@antal.com,Agency,To Contact,,,
BAC Middle East,recruit@bacme.com ; submit@bacme.com,Agency,To Contact,,,
CIG,info@cig.ae,Agency,To Contact,,,
Derby Group,info@derbygroup.ae,Agency,To Contact,,,
Emirates Net,mansoor@emirates.net.ae,Agency,To Contact,,,
Executive Solutions ME,info@executivesolutionsme.com,Agency,To Contact,,,
Experts Recruitment,gaile@expertsrecruitment.com,Agency,To Contact,,,
Hays,clientmiddleeast@hays.com,Agency,To Contact,,,
Horizon Group,horizongroup@horizon.ae,Agency,To Contact,,,
Innovation UAE,recruitment@innovationuae.com,Agency,To Contact,,,
Inspire Selection,info@inspireselection.com,Agency,To Contact,,,
JVI Global,jobseekers@jvi-global.com ; employers@jvi-global.com,Agency,To Contact,,,
