cluster_id,company,aliases,tabs,row_count,emails,domains,phones,notes
accor_hotels_uae,Accor Hotels UAE,,Direct Employers,1,hrd@accor.com,accor.com,,
acx,ACX,,Needs Email Research,1,,,,
adcb,ADCB,,Direct Employers|Applied,2,careers@adcb.com,adcb.com,,cross-tab
addenda,Addenda,,Needs Email Research,1,,,,
adecco,Adecco,,Agencies|Applied|Follow Ups,3,adeccoae.info@adecco.com,adecco.com,,cross-tab
adms_uae,ADMS UAE,,Agencies|Applied|Follow Ups,3,info@admsuae.com,admsuae.com,,cross-tab
aecom_uae,AECOM UAE,,Direct Employers|Needs Email Research,2,,ae-careers.aecom.com,,cross-tab
akrs,AKRS,,Agencies|Applied|Follow Ups,3,info@akrs.ae,akrs.ae,,cross-tab
al_mansoor_group,Al Mansoor Group,,Agencies|Applied|Follow Ups,3,info@almansoorgroup.com,almansoorgroup.com,,cross-tab
al_nahiya,Al Nahiya,,Agencies|Applied|Follow Ups,3,enquiries@alnahiya.com|info@alnahiya.com,alnahiya.com,,cross-tab
al_thawiya,Al Thawiya,,Agencies|Applied|Follow Ups,3,enquiry@al-thawiya.com,al-thawiya.com,,cross-tab
al_vakil,Al Vakil,,Agencies|Applied|Follow Ups,3,adminmumbai@alvakil.net|jobs@alvakil.net,alvakil.net,,cross-tab
amazon_uae,Amazon UAE,,Direct Employers,1,aws-careers-emea@amazon.com|hiring@amazon.com,amazon.com,,
amwal,Amwal,,Needs Email Research,1,,,,
antal,Antal,,Agencies|Applied|Follow Ups,3,info@antal.com,antal.com,,cross-tab
asrs,ASRS,,Agencies|Applied|Follow Ups,3,info@asrs.ae,asrs.ae,,cross-tab
aster_dm_healthcare,Aster DM Healthcare,,Direct Employers,1,careers@asterhospital.com,asterhospital.com,,
bac_middle_east,BAC Middle East,,Agencies|Applied|Follow Ups,3,mabel@bacme.com|recruit@bacme.com|submit@bacme.com,bacme.com,,cross-tab
bayt_com,Bayt.com,,Direct Employers,1,hr@bayt.com,bayt.com,,
caliberly,Caliberly,,Needs Email Research,1,,,,
cander,Cander,,Needs Email Research,1,,,,
careem,Careem,,Direct Employers,1,careers@careem.com,careem.com|jobs.careem.com,,
carrefour_uae,Carrefour UAE,,Direct Employers|Needs Email Research,2,,carrefouruaecareers.com,,cross-tab
charterhouse,Charterhouse,,Needs Email Research,1,,,,
cig,CIG,,Agencies,1,info@cig.ae,cig.ae,,
cooper_fitch,Cooper Fitch,,Needs Email Research,1,,,,
damac_properties,DAMAC Properties,,Direct Employers,1,careers@damacgroup.com,damacgroup.com,,
deloitte_middle_east,Deloitte Middle East,,Direct Employers,1,careers@deloitte.com,deloitte.com,,
derby_group,Derby Group,,Agencies,1,info@derbygroup.ae,derbygroup.ae,,
dewa,DEWA,,Direct Employers,1,recruitment@dewa.gov.ae,dewa.gov.ae,,
dp_world,DP World,,Direct Employers,1,careers@dpworld.com,dpworld.com,,
du_telecom,du Telecom,,Direct Employers,1,careers@du.ae,du.ae,,
dubai_airports,Dubai Airports,,Direct Employers,1,careers@dubaiairports.ae,dubaiairports.ae,,
dubai_municipality,Dubai Municipality,,Direct Employers,1,careers@dm.gov.ae,dm.gov.ae,,
emaar_properties,Emaar Properties,,Direct Employers,1,careers@emaar.ae,emaar.ae|emaar.com,,
emirates_group,Emirates Group,,Direct Employers,1,careers@emirates.com,emirates.com|emiratesgroupcareers.com,,
emirates_nbd,Emirates NBD,,Direct Employers,1,careers@emiratesnbd.com,emiratesnbd.com,,
emirates_net,Emirates Net,,Agencies,1,hrd@emiratesnet.com|mansoor@emirates.net.ae|marketing@emiratesnet.com,emirates.net.ae|emiratesnet.com,,
etisalat,Etisalat,Etisalat (e&),Direct Employers,2,careers@etisalat.ae,etisalat.ae|careers.etisalat.ae,,alias
evoq_real_estate,EVOQ (Real Estate),,Direct Employers|WhatsApp Other,2,,,971523321256,cross-tab+phone
executive_solutions_me,Executive Solutions ME,,Agencies,1,info@executivesolutionsme.com,executivesolutionsme.com,,
experts_recruitment,Experts Recruitment,,Agencies,1,gaile@expertsrecruitment.com,expertsrecruitment.com,,
ey_uae,EY UAE,,Direct Employers,1,careers@ae.ey.com,ae.ey.com,,
flydubai,Flydubai,,Direct Employers,1,careers@flydubai.com,flydubai.com,,
google_uae,Google UAE,,Direct Employers,1,careers@google.com,google.com,,
greengage,Greengage,,Needs Email Research,1,,,,
halian,Halian,,Needs Email Research,1,,,,
hays,Hays,,Agencies,1,clientmiddleeast@hays.com,hays.com,,
hilton_hotels_uae,Hilton Hotels UAE,,Direct Employers,1,uajobs@hilton.com,hilton.com,,
horizon_group,Horizon Group,,Agencies,1,horizongroup@horizon.ae,horizon.ae,,
hsbc_uae,HSBC UAE,,Direct Employers,1,careersuae@hsbc.com,hsbc.com,,
innovation_uae,Innovation UAE,,Agencies,1,jobs@innovationsglobal.com|recruitment@innovationuae.com,innovationsglobal.com|innovationuae.com,,
inspire_selection,Inspire Selection,,Agencies,1,info@inspireselection.com,inspireselection.com,,
jumeirah_group,Jumeirah Group,,Direct Employers,1,careers@jumeirah.com,jumeirah.com,,
jvi_global,JVI Global,,Agencies,1,employers@jvi-global.com|jobseekers@jvi-global.com,jvi-global.com,,
kershaw_leonard,Kershaw Leonard,,Agencies,1,mike@kershawleonard.net,kershawleonard.net,,
kinfitz_and_co,KinFitz & Co,,Needs Email Research,1,,,,
kpmg_uae,KPMG UAE,,Direct Employers,1,careers@kpmg.com,kpmg.com,,
lobo_management,Lobo Management,,Agencies,1,lobo@lobomanagement.com,lobomanagement.com,,
mackenzie_jones,Mackenzie Jones,,Agencies,1,info@mackenziejones.com,mackenziejones.com,,
majid_al_futtaim,Majid Al Futtaim,,Direct Employers|Needs Email Research,2,,careers.majidalfuttaim.com,,cross-tab
manpower_middle_east,Manpower Middle East,,Agencies,1,info@manpower-me.com,manpower-me.com,,
marriott_international_uae,Marriott International UAE,,Direct Employers,1,careers@marriott.com,marriott.com,,
masdar,Masdar,,Needs Email Research,1,,,,
mashreq_bank,Mashreq Bank,,Direct Employers,1,careers@mashreqbank.com,mashreqbank.com,,
mediclinic_middle_east,Mediclinic Middle East,,Direct Employers,1,recruitment@mediclinic.ae,mediclinic.ae,,
michael_page,Michael Page,,Agencies,1,clientmiddleeast@michaelpage.ae,michaelpage.ae,,
microsoft_gulf,Microsoft Gulf,,Direct Employers,1,careers@microsoft.com,microsoft.com,,
million,Million,,Needs Email Research,1,,,,
nadia_global,Nadia Global,,Agencies,1,contact@nadiaglobal.com,nadiaglobal.com,,
nakheel,Nakheel,,Direct Employers,1,careers@nakheel.com,nakheel.com,,
nathan_hr,Nathan HR,,Agencies,1,info@nathanhr.com,nathanhr.com,,
noon,Noon,,Direct Employers,1,careers@noon.com|talent@noon.com,noon.com,,
oracle_middle_east,Oracle Middle East,,Direct Employers,1,oraclecareers@oracle.com,oracle.com,,
pact_employment,Pact Employment,,Agencies,1,info@pactemployment.ae,pactemployment.ae,,
petty,Petty,,Needs Email Research,1,,,,
property_finder,Property Finder,,Direct Employers|Applied|Follow Ups,3,careers@propertyfinder.ae,propertyfinder.ae,,cross-tab
pwc_middle_east,PwC Middle East,,Direct Employers,1,careers@pwc.com,pwc.com,,
randstad,Randstad,,Agencies,1,corporate.communications@randstad.com,randstad.com,,
rawafed,Rawafed,,Agencies,1,careers@rawafed.ae,rawafed.ae,,
reach_group,Reach Group,,Agencies,1,jobs@reachgroup.ae,reachgroup.ae,,
receptionist_pa,Receptionist PA,,Agencies,1,info@receptionistpa.com,receptionistpa.com,,
rotana_hotels,Rotana Hotels,,Direct Employers|Needs Email Research,2,,rotanacareers.com,,cross-tab
rta_dubai,RTA Dubai,,Direct Employers,1,hr@rta.ae,rta.ae,,
salt,Salt,,Needs Email Research,1,,,,
sap_middle_east,SAP Middle East,,Direct Employers,1,careers@sap.com,sap.com,,
saudi_german_hospital_dubai,Saudi German Hospital Dubai,,Direct Employers,1,careers@saudigerman.com,saudigerman.com,,
sawaeed,Sawaeed,,Agencies,1,info@sawaeed.ae,sawaeed.ae,,
she_is_arab,She is Arab,,Needs Email Research,1,,,,
spark,Spark,,Agencies,1,sparkmos@spark.ae,spark.ae,,
