Country / Region	Type	Company / Agency	Company Description	Contact Person	Email Sent To	Email / Contact	Phone / WhatsApp	Role Applied For	Status	Date Email Sent	Date Applied	Follow-up Date	Reply Status	Confidence	Needs Manual Review	Recommended Action	Source	Notes	URLs	Last Gmail Thread ID	Last Gmail Message ID
UAE / Dubai	Direct Employer	2gether	Company career-link lead			https://2gether.global/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8705.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8705.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://2gether.global/careers; 2gether.global/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	ADNOC Digital	Company career-link lead			https://adnoc.ae/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8705.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8705.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://adnoc.ae/careers; adnoc.ae/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	AECOM UAE				https://ae-careers.aecom.com/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Almosafer	Company career-link lead			https://almosafer.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8704.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8704.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://almosafer.com/careers; almosafer.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Beehive	Company career-link lead			https://beehive.ae/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://beehive.ae/careers; beehive.ae/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Carrefour UAE				https://www.carrefouruaecareers.com/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Crafty	Company career-link lead			https://craftydelivers.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://craftydelivers.com/careers; craftydelivers.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Dubizzle	Company career-link lead			https://dubizzle.com/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://dubizzle.com/careers; dubizzle.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	EVOQ (Real Estate)				WhatsApp: +971523321256			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Fetchr	Company career-link lead			https://fetchr.us/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://fetchr.us/careers; fetchr.us/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
