Country / Region	Type	Company / Agency	Company Description	Contact Person	Email Sent To	Email / Contact	Phone / WhatsApp	Role Applied For	Status	Date Email Sent	Date Applied	Follow-up Date	Reply Status	Confidence	Needs Manual Review	Recommended Action	Source	Notes	URLs	Last Gmail Thread ID	Last Gmail Message ID
UAE / Dubai	Agency	360agency	Agency / recruiter			apply@360agency.me			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8057.HEIC	OCR raw safety-net row from screenshot; verify before outreach. @:) Join channel to get daily Dubai job updates W | https://www.instagram.com/channel/ | info@workforce.ae | contact@morganmallet.agency	https://www.instagram.com/channel/AbZbNHfHrBoK22HT/?		
UAE / Dubai	Agency	Abcrecruitment	Agency / recruiter			career@abcrecruitment.ae; recruit@abcrecruitment.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8493.HEIC; Raw OCR: IMG_8948.HEIC	OCR raw safety-net row from screenshot | verify before outreach. FREE Recruitment Agency List & | Ll ABC Recruitment | www.abcrecruitment.ae | career@abcrecruitment.ae | recruit@abcrecruitment.ae | MP ABC Recruitment	www.abcrecruitment.ae; www.accel-hrconsulting.com; www.dragonrecruiting.net		
UAE / Dubai	Agency	Accelhrc	Agency / recruiter			info@accelhrc.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8493.HEIC; Raw OCR: IMG_8948.HEIC	OCR raw safety-net row from screenshot | verify before outreach. FREE Recruitment Agency List & | Ll ABC Recruitment | www.abcrecruitment.ae | career@abcrecruitment.ae | recruit@abcrecruitment.ae | MP ABC Recruitment	www.abcrecruitment.ae; www.accel-hrconsulting.com; www.dragonrecruiting.net		
UAE / Dubai	Agency	Adecco	Recruitment agency / staffing contact		adeccoae.info@adecco.com	adeccoae.info@adecco.com; adeccoa.e.info@adecco.com		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8341.HEIC; Gmail sent last month; Raw OCR: IMG_8333.HEIC; Raw OCR: IMG_8341.HEIC	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e89951d50b68b7 | Move from Unknown into UAE/Dubai agency review queue. | Initial and updated UAE agency CV sent. | OCR raw safety-net row from screenshot | verify before outreach. Top recruitment agencies at United Arab Emirates | 1. info@uhrs.ae | 2. jobs@reachgroup.ae | 3. info@receptionistpa.com | verify before outreach. 1. ... [truncated]	adecco.com; OCR agency-list screenshot; many .ae; dxb; middleeast; and UAE staffing domains. Verify before outreach.	19e89d089904515a	19e89d089904515a
UAE / Dubai	Agency	ADMS UAE	UAE manpower / recruitment lead		info@admsuae.com	info@admsuae.com		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Gmail sent last month	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e89945308caee8 | Initial and updated UAE agency CV sent.		19e89cf5ce9cc34b	19e89cf5ce9cc34b
UAE / Dubai	Agency	AKRS	Recruitment agency / staffing contact		info@akrs.ae	info@akrs.ae		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8334.HEIC; Gmail sent last month; Raw OCR: IMG_8341.HEIC	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e899494cedcd60 | Move from Unknown into UAE/Dubai agency review queue. | Initial and updated UAE agency CV sent. | OCR raw safety-net row from screenshot | verify before outreach. 1. info@mackenziejones.com | 2. info@sawaeed.ae | 3. clientmiddleeast@hays.com | 4. info@receptionistpa.com	akrs.ae; OCR agency-list screenshot; many .ae; dxb; middleeast; and UAE staffing domains. Verify before outreach.	19e89cfc2a56acd0	19e89cfc2a56acd0
UAE / Dubai	Agency	Al Mansoor Group	UAE recruitment / manpower lead		info@almansoorgroup.com	info@almansoorgroup.com		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Gmail sent last month	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e89956b48c3cad | Initial and updated UAE-focused CV sent.		19e89d0ead50a17f	19e89d0ead50a17f
UAE / Dubai	Agency	Al Nahiya	UAE recruitment and manpower agency		enquiries@alnahiya.com; info@alnahiya.com	enquiries@alnahiya.com; info@alnahiya.com		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Gmail sent last month	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8995bb9aefbbb | Initial and updated UAE-focused CV sent.		19e89d146678c6a2	19e89d146678c6a2
UAE / Dubai	Agency	Al Thawiya	Recruitment agency / staffing contact		enquiry@al-thawiya.com	enquiry@al-thawiya.com		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8334.HEIC; Gmail sent last month; Raw OCR: IMG_8341.HEIC	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8995fe4f14b21 | Move from Unknown into UAE/Dubai agency review queue. | Initial and updated UAE-focused CV sent. | OCR raw safety-net row from screenshot | verify before outreach. 1. info@mackenziejones.com | 2. info@sawaeed.ae | 3. clientmiddleeast@hays.com | 4. info@receptionistpa.com	al-thawiya.com; OCR agency-list screenshot; many .ae; dxb; middleeast; and UAE staffing domains. Verify before outreach.	19e89d1b128adb5c	19e89d1b128adb5c
UAE / Dubai	Agency	Al Vakil	Recruitment agency with GCC and India contacts		jobs@alvakil.net; adminmumbai@alvakil.net	jobs@alvakil.net; adminmumbai@alvakil.net		Product Designer / UI/UX / UAE-GCC Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Gmail sent last month	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8996472185e94 | Initial and updated UAE/GCC-focused CV sent.		19e89d20d8adcac1	19e89d20d8adcac1
UAE / Dubai	Agency	Allianzehr	Agency / recruiter			ehr@allianzehr.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8057.HEIC	OCR raw safety-net row from screenshot; verify before outreach. @:) Join channel to get daily Dubai job updates W | https://www.instagram.com/channel/ | info@workforce.ae | contact@morganmallet.agency	https://www.instagram.com/channel/AbZbNHfHrBoK22HT/?		
UAE / Dubai	Agency	Antal	Recruitment agency / staffing contact			info@antal.com			Applied		2026-06-03	2026-06-10		High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8334.HEIC; Raw OCR: IMG_8341.HEIC	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8996a624036db | Move from Unknown into UAE/Dubai agency review queue. | OCR raw safety-net row from screenshot | verify before outreach. 1. info@mackenziejones.com | 2. info@sawaeed.ae | 3. clientmiddleeast@hays.com | 4. info@receptionistpa.com	antal.com; OCR agency-list screenshot; many .ae; dxb; middleeast; and UAE staffing domains. Verify before outreach.		
UAE / Dubai	Agency	ASRS	Recruitment agency / staffing contact		Info@asrs.ae	Info@asrs.ae; info@asrs.ae		Product Designer / UI/UX / UAE Digital Roles	Applied	2026-06-02	2026-06-02	2026-06-10	No Reply	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Screenshot proposal: proposed-tracker-rows-from-unknown.csv; IMG_8334.HEIC; Gmail sent last month; Raw OCR: IMG_8333.HEIC; Raw OCR: IMG_8341.HEIC	Agency outreach sent with UAE Product Designer CV. Gmail sent id: 19e8994d82744ae3 | Move from Unknown into UAE/Dubai agency review queue. | Initial and updated UAE agency CV sent. | OCR raw safety-net row from screenshot | verify before outreach. Top recruitment agencies at United Arab Emirates | 1. info@uhrs.ae | 2. jobs@reachgroup.ae | 3. info@receptionistpa.com | verify before outreach. 1. ... [truncated]	asrs.ae; OCR agency-list screenshot; many .ae; dxb; middleeast; and UAE staffing domains. Verify before outreach.	19e89d0228492b70	19e89d0228492b70
UAE / Dubai	Agency	BAC Middle East	UAE recruitment agency		recruit@bacme.com; submit@bacme.com; mabel@bacme.com	recruit@bacme.com; submit@bacme.com; mabel@bacme.com		Product Designer / UI/UX / Agency Outreach	Delivery Failed	2026-06-03	2026-06-03	2026-06-10	Bounced	High	Yes	Follow up if no response	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Gmail sent last month	BAC-specific CV sent. To: recruit@bacme.com | submit@bacme.com. CC: mabel@bacme.com. Gmail sent id: 19e89c01053d2189 | Delivery delays then permanent failures were received for recruit@bacme.com submit@bacme.com and mabel@bacme.com.		19e89c01053d2189	19e89c01053d2189
UAE / Dubai	Agency	Caliberly	Agency / recruiter			hello@caliberly.com	Phone: +971 4 367 1797; Phone: +971 4 585 9309; Phone: +971 50 434 4675; Phone: +971 4 447 2847; Phone: +971 4 355 7222		To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8396.HEIC	OCR raw safety-net row from screenshot; verify before outreach. v FOLLOW FOR DUBAI JOB-RELATED VIDEOS | BE Email: info@mindfieldresources.com | &: Website: http://www.mindfieldresources.com | Tiger Recruitment	http://www.mindfieldresources.comTiger; https://tiger-recruitment.com/aeRFS; https://www.rfsonshr.comCaliberly; https://caliberly.comParker; https://parkerconnect-me.com#4		
UAE / Dubai	Agency	Careerpro	Agency / recruiter			einfo@careerpro.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8057.HEIC	OCR raw safety-net row from screenshot; verify before outreach. @:) Join channel to get daily Dubai job updates W | https://www.instagram.com/channel/ | info@workforce.ae | contact@morganmallet.agency	https://www.instagram.com/channel/AbZbNHfHrBoK22HT/?		
