Country / Region	Type	Company / Agency	Company Description	Contact Person	Email Sent To	Email / Contact	Phone / WhatsApp	Role Applied For	Status	Date Email Sent	Date Applied	Follow-up Date	Reply Status	Confidence	Needs Manual Review	Recommended Action	Source	Notes	URLs	Last Gmail Thread ID	Last Gmail Message ID
UAE / Dubai	Agency	Caliberly	Agency / recruiter			hello@caliberly.com	Phone: +971 4 367 1797; Phone: +971 4 585 9309; Phone: +971 50 434 4675; Phone: +971 4 447 2847; Phone: +971 4 355 7222		To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8396.HEIC	OCR raw safety-net row from screenshot; verify before outreach. v FOLLOW FOR DUBAI JOB-RELATED VIDEOS | BE Email: info@mindfieldresources.com | &: Website: http://www.mindfieldresources.com | Tiger Recruitment	http://www.mindfieldresources.comTiger; https://tiger-recruitment.com/aeRFS; https://www.rfsonshr.comCaliberly; https://caliberly.comParker; https://parkerconnect-me.com#4		
UAE / Dubai	Agency	Mindfieldresources	Agency / recruiter			info@mindfieldresources.com	Phone: +971 4 367 1797; Phone: +971 4 585 9309; Phone: +971 50 434 4675; Phone: +971 4 447 2847; Phone: +971 4 355 7222		To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8396.HEIC	OCR raw safety-net row from screenshot; verify before outreach. v FOLLOW FOR DUBAI JOB-RELATED VIDEOS | BE Email: info@mindfieldresources.com | &: Website: http://www.mindfieldresources.com | Tiger Recruitment	http://www.mindfieldresources.comTiger; https://tiger-recruitment.com/aeRFS; https://www.rfsonshr.comCaliberly; https://caliberly.comParker; https://parkerconnect-me.com#4		
UAE / Dubai	Agency	Parkerconnect Me	Agency / recruiter			info@parkerconnect-me.com	Phone: +971 4 367 1797; Phone: +971 4 585 9309; Phone: +971 50 434 4675; Phone: +971 4 447 2847; Phone: +971 4 355 7222		To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8396.HEIC	OCR raw safety-net row from screenshot; verify before outreach. v FOLLOW FOR DUBAI JOB-RELATED VIDEOS | BE Email: info@mindfieldresources.com | &: Website: http://www.mindfieldresources.com | Tiger Recruitment	http://www.mindfieldresources.comTiger; https://tiger-recruitment.com/aeRFS; https://www.rfsonshr.comCaliberly; https://caliberly.comParker; https://parkerconnect-me.com#4		
UAE / Dubai	Agency	Rfsonshr	Agency / recruiter			info@rfsonshr.com	Phone: +971 4 367 1797; Phone: +971 4 585 9309; Phone: +971 50 434 4675; Phone: +971 4 447 2847; Phone: +971 4 355 7222		To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8396.HEIC	OCR raw safety-net row from screenshot; verify before outreach. v FOLLOW FOR DUBAI JOB-RELATED VIDEOS | BE Email: info@mindfieldresources.com | &: Website: http://www.mindfieldresources.com | Tiger Recruitment	http://www.mindfieldresources.comTiger; https://tiger-recruitment.com/aeRFS; https://www.rfsonshr.comCaliberly; https://caliberly.comParker; https://parkerconnect-me.com#4		
UAE / Dubai	Agency	Tiger Recruitment	Agency / recruiter			ae-info@tiger-recruitment.com	Phone: +971 4 367 1797; Phone: +971 4 585 9309; Phone: +971 50 434 4675; Phone: +971 4 447 2847; Phone: +971 4 355 7222		To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8396.HEIC	OCR raw safety-net row from screenshot; verify before outreach. v FOLLOW FOR DUBAI JOB-RELATED VIDEOS | BE Email: info@mindfieldresources.com | &: Website: http://www.mindfieldresources.com | Tiger Recruitment	http://www.mindfieldresources.comTiger; https://tiger-recruitment.com/aeRFS; https://www.rfsonshr.comCaliberly; https://caliberly.comParker; https://parkerconnect-me.com#4		
UAE / Dubai	Direct Employer	Aljadaalmushriqa	Unclassified lead			hr@aljadaalmushriqa.ae	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Excellentwebworld	Job lead / direct employer			murad@excellentwebworld.com	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Gmail contact lead	Unclassified lead			gmgmedical09@gmail.com	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Ikonsult	Job lead / direct employer			hiring@ikonsult.in	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Latinumhr	Job lead / direct employer			jobs@latinumhr.com	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
